,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
669,3045025,Alyssum lanceolatum Baumgartner,Alyssum lanceolatum,Alysseae,accepted,W,Y,75,16,1,1,1,1,59,>=10,>=10,<10,<10,<10,<10
676,3045074,Alyssum lassiticum Halácsy,Alyssum lassiticum,Alysseae,accepted,W,Y,7,4,2,0,0,0,3,<10,<10,<10,0,0,0
684,3045096,Alyssum lenense Adams,Alyssum lenense,Alysseae,accepted,W,N,1567,1254,989,341,301,164,313,>=1000,>=1000,>=500,>=100,>=100,>=100
692,3045133,Alyssum lepidoto-stellatum (Hausskn. & Bornm.) T.R. Dudley,Alyssum lepidoto-stellatum,Alysseae,accepted,H,N,47,6,0,0,0,0,41,>=10,<10,0,0,0,0
697,3045154,Alyssum lepidotum Boiss.,Alyssum lepidotum,Alysseae,accepted,W,Y,40,1,0,0,0,0,39,>=10,<10,0,0,0,0
628,3044795,Alyssum loiseleurii P. Fourn.,Alyssum loiseleurii,Alysseae,accepted,H,N,566,375,213,54,6,6,191,>=500,>=100,>=100,>=10,<10,<10
624,3044782,Alyssum lycaonicum (O.E. Schulz) T.R. Dudley,Alyssum lycaonicum,Alysseae,accepted,W,Y,9,0,0,0,0,0,9,<10,0,0,0,0,0
629,3044798,Alyssum macrocalyx Coss. & Durieu,Alyssum macrocalyx,Alysseae,accepted,H,N,84,6,0,0,0,0,78,>=10,<10,0,0,0,0
4011,10945567,Alyssum macrocarpum DC.,Alyssum macrocarpum,Alysseae,not accepted,H,N,1351,871,857,2,2,2,480,>=1000,>=500,>=500,<10,<10,<10
675,3045070,Alyssum macropodum Boiss. & Balansa,Alyssum macropodum,Alysseae,accepted,H,N,25,1,0,0,0,0,24,>=10,<10,0,0,0,0
643,3044840,Alyssum minutum Schlecht. ex DC.,Alyssum minutum,Alysseae,accepted,H,Y,1029,532,216,149,51,35,497,>=1000,>=500,>=100,>=100,>=10,>=10
3559,7395194,Alyssum misirdalianum Orcan,Alyssum misirdalianum,Alysseae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
2425,3691344,Alyssum modestum Boiss. & Balansa,Alyssum modestum,Alysseae,not accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
650,3044889,Alyssum moellendorfianum Asch. ex G. Beck,Alyssum moellendorfianum,Alysseae,accepted,H,N,29,3,2,0,0,0,26,>=10,<10,<10,0,0,0
653,3044912,Alyssum montanum L.,Alyssum montanum,Alysseae,accepted,W,Y,10353,6113,4034,1072,570,352,4240,>=1000,>=1000,>=1000,>=1000,>=500,>=100
688,3045110,Alyssum mouradicum Boiss. & Balansa,Alyssum mouradicum,Alysseae,accepted,W,Y,36,2,0,0,0,0,34,>=10,<10,0,0,0,0
696,3045153,Alyssum mozaffarianii Kavousi,Alyssum mozaffarianii,Alysseae,accepted,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0
680,3045088,Alyssum muelleri Boiss. & Buhse,Alyssum muelleri,Alysseae,accepted,H,N,38,9,1,1,1,0,29,>=10,<10,<10,<10,<10,0
3896,10787515,"Alyssum neglectum Magauer, Frajman & Schönsw.",Alyssum neglectum,Alysseae,accepted,H,N,31,26,26,24,4,1,5,>=10,>=10,>=10,>=10,<10,<10
677,3045075,Alyssum nezaketiae Aytaç & H. Duman,Alyssum nezaketiae,Alysseae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
616,3044753,Alyssum niveum T.R. Dudley,Alyssum niveum,Alysseae,accepted,W,Y,6,1,0,0,0,0,5,<10,<10,0,0,0,0
4135,11128149,Alyssum numidicum Pomel,Alyssum numidicum,Alysseae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
641,3044829,Alyssum ochroleucum Boiss. & A. Huet,Alyssum ochroleucum,Alysseae,not accepted,H,N,38,4,0,0,0,0,34,>=10,<10,0,0,0,0
639,3044824,Alyssum odoratum Colla,Alyssum odoratum,Alysseae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
3711,8269250,Alyssum orbiculare (Regel) Nyár.,Alyssum orbiculare,Alysseae,not accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
2420,3691132,Alyssum orophilum Jord. & Fourr.,Alyssum orophilum,Alysseae,accepted,H,Y,413,319,255,0,0,0,94,>=100,>=100,>=100,0,0,0
2418,3691124,Alyssum oschtenicum (N. Busch) Kharkev.,Alyssum oschtenicum,Alysseae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
660,3044967,Alyssum paphlagonicum (Hausskn.) T.R. Dudley,Alyssum paphlagonicum,Alysseae,accepted,H,Y,33,6,0,0,0,0,27,>=10,<10,0,0,0,0
667,3045010,Alyssum patulum Pomel,Alyssum patulum,Alysseae,accepted,H,N,2,0,0,0,0,0,0,<10,0,0,0,0,0
691,3045131,Alyssum persicum Boiss.,Alyssum persicum,Alysseae,accepted,H,Y,39,12,4,4,4,0,27,>=10,>=10,<10,<10,<10,0
2414,3690985,Alyssum pirinicum (Stoj. & Acht.) Ančev,Alyssum pirinicum,Alysseae,accepted,H,N,38,4,3,3,3,2,34,>=10,<10,<10,<10,<10,<10
3983,10915006,"Alyssum pluscanescens (Raim. ex Baumg.) Španiel, Lihová & Marhold",Alyssum pluscanescens,Alysseae,accepted,H,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
704,3045172,Alyssum pogonocarpum Carlström,Alyssum pogonocarpum,Alysseae,accepted,H,N,11,7,2,2,2,2,4,>=10,<10,<10,<10,<10,<10
700,3045160,Alyssum praecox Boiss.,Alyssum praecox,Alysseae,accepted,H,Y,54,4,0,0,0,0,50,>=10,<10,0,0,0,0
713,3045212,Alyssum propinquum Baumgartner,Alyssum propinquum,Alysseae,accepted,W,Y,14,3,1,1,0,0,11,>=10,<10,<10,<10,0,0
615,3044751,Alyssum pseudomouradicum Hausskn. & Bornm. ex Baumgartner,Alyssum pseudomouradicum,Alysseae,accepted,H,Y,24,7,0,0,0,0,17,>=10,<10,0,0,0,0
627,3044793,Alyssum pulvinare Velen.,Alyssum pulvinare,Alysseae,accepted,H,N,51,5,0,0,0,0,46,>=10,<10,0,0,0,0
656,3044933,Alyssum reiseri Velen.,Alyssum reiseri,Alysseae,accepted,H,N,19,1,0,0,0,0,18,>=10,<10,0,0,0,0
635,3044813,Alyssum repens Baumg.,Alyssum repens,Alysseae,accepted,W,Y,642,308,95,67,61,38,334,>=500,>=100,>=10,>=10,>=10,>=10
2412,3690828,Alyssum rhodanense Jord. & Fourr.,Alyssum rhodanense,Alysseae,accepted,H,N,179,139,139,0,0,0,40,>=100,>=100,>=100,0,0,0
638,3044823,Alyssum rostratum Steven,Alyssum rostratum,Alysseae,accepted,H,N,332,106,75,59,36,35,226,>=100,>=100,>=10,>=10,>=10,>=10
2409,3690714,Alyssum saxigenum (Jord. & Fourr.) Timb.-Lagr.,Alyssum saxigenum,Alysseae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
659,3044966,Alyssum scutigerum Durieu,Alyssum scutigerum,Alysseae,accepted,H,N,229,7,1,0,0,0,222,>=100,<10,<10,0,0,0
668,3045012,Alyssum siculum Jord.,Alyssum siculum,Alysseae,accepted,H,N,128,52,1,1,1,0,76,>=100,>=10,<10,<10,<10,0
672,3045042,Alyssum simplex Rudolphi,Alyssum simplex,Alysseae,accepted,H,Y,10017,8006,6270,2352,841,754,2011,>=1000,>=1000,>=1000,>=1000,>=500,>=500
2408,3690603,Alyssum simulans Runem. ex Hartvig,Alyssum simulans,Alysseae,accepted,H,N,45,17,0,0,0,0,28,>=10,>=10,0,0,0,0
3931,10840368,Alyssum smolikanum subsp. moravense F.K. Mey.,Alyssum smolikanum,Alysseae,not accepted,H,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
674,3045069,Alyssum smyrnaeum C.A. Mey.,Alyssum smyrnaeum,Alysseae,accepted,H,N,81,21,1,1,1,1,60,>=10,>=10,<10,<10,<10,<10
2407,3690574,Alyssum spathulaefolium Formánek,Alyssum spathulaefolium,Alysseae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
681,3045089,Alyssum speciosum Pomel,Alyssum speciosum,Alysseae,accepted,H,N,7,1,0,0,0,0,6,<10,<10,0,0,0,0
690,3045130,Alyssum sphacioticum Boiss. & Heldr.,Alyssum sphacioticum,Alysseae,accepted,H,N,20,6,4,2,2,2,14,>=10,<10,<10,<10,<10,<10
694,3045141,Alyssum stapfii Vierh.,Alyssum stapfii,Alysseae,accepted,H,N,104,16,7,2,1,1,88,>=100,>=10,<10,<10,<10,<10
634,3044810,Alyssum stenostachyum Botsch. & Vved.,Alyssum stenostachyum,Alysseae,accepted,H,N,255,46,18,16,12,10,209,>=100,>=10,>=10,>=10,>=10,>=10
703,3045169,Alyssum stribryni Velen.,Alyssum stribryni,Alysseae,accepted,H,N,11,0,0,0,0,0,11,>=10,0,0,0,0,0
701,3045167,Alyssum strictum Willd.,Alyssum strictum,Alysseae,accepted,H,Y,95,14,1,1,1,1,81,>=10,>=10,<10,<10,<10,<10
708,3045193,Alyssum strigosum Banks & Sol.,Alyssum strigosum,Alysseae,accepted,H,N,1360,964,254,246,30,27,396,>=1000,>=500,>=100,>=100,>=10,>=10
614,3044750,Alyssum sulphureum T.R. Dudley & Hub.-Mor.,Alyssum sulphureum,Alysseae,accepted,H,Y,16,1,0,0,0,0,15,>=10,<10,0,0,0,0
642,3044836,Alyssum taygeteum Heldr.,Alyssum taygeteum,Alysseae,accepted,W,Y,23,8,2,1,0,0,15,>=10,<10,<10,<10,0,0
646,3044884,Alyssum tenium Halácsy,Alyssum tenium,Alysseae,not accepted,H,N,14,7,3,0,0,0,7,>=10,<10,<10,0,0,0
644,3044851,Alyssum tetrastemon Boiss.,Alyssum tetrastemon,Alysseae,accepted,W,Y,24,1,0,0,0,0,23,>=10,<10,0,0,0,0
651,3044891,Alyssum thymops (Hub.-Mor. & Reese) T.R. Dudley,Alyssum thymops,Alysseae,accepted,H,N,12,1,0,0,0,0,11,>=10,<10,0,0,0,0
3613,7705843,Alyssum tortuosum subsp. arenicola Novák ex Dostál,Alyssum tortuosum,Alysseae,not accepted,H,N,181,105,79,49,13,13,76,>=100,>=100,>=10,>=10,>=10,>=10
619,3044763,Alyssum tortuosum subsp. borzaeanum (Nyár.) Stoj. & Stef.,Alyssum tortuosum,Alysseae,not accepted,H,N,96,81,29,13,12,5,15,>=10,>=10,>=10,>=10,>=10,<10
671,3045030,Alyssum trichocarpum T.R. Dudley & Hub.-Mor.,Alyssum trichocarpum,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
636,3044817,Alyssum trichostachyum Rupr.,Alyssum trichostachyum,Alysseae,accepted,H,N,368,243,127,88,80,64,125,>=100,>=100,>=100,>=10,>=10,>=10
679,3045082,Alyssum turkestanicum Regel & Schmalh.,Alyssum turkestanicum,Alysseae,accepted,H,Y,4511,2893,1617,1068,842,629,1618,>=1000,>=1000,>=1000,>=1000,>=500,>=500
687,3045106,Alyssum umbellatum Desv.,Alyssum umbellatum,Alysseae,accepted,H,N,336,201,54,42,36,30,135,>=100,>=100,>=10,>=10,>=10,>=10
693,3045137,Alyssum wierzbickii Heuff.,Alyssum wierzbickii,Alysseae,accepted,H,N,111,9,0,0,0,0,102,>=100,<10,0,0,0,0
699,3045157,Alyssum wulfenianum Bernh. ex Willd.,Alyssum wulfenianum,Alysseae,accepted,H,Y,381,103,88,62,50,4,278,>=100,>=100,>=10,>=10,>=10,<10
707,3045191,Alyssum xanthocarpum Boiss.,Alyssum xanthocarpum,Alysseae,accepted,H,N,79,1,0,0,0,0,78,>=10,<10,0,0,0,0
599,3044656,Ammosperma cinerea (Desf.) Hook.f.,Ammosperma cinerea,Brassiceae,accepted,H,Y,314,21,5,0,0,0,293,>=100,>=10,<10,0,0,0
598,3044655,Ammosperma variabile Nègre & Le Houér.,Ammosperma variabile,Brassiceae,accepted,H,N,3,1,0,0,0,0,2,<10,<10,0,0,0,0
228,3041976,Anastatica hierochuntica L.,Anastatica hierochuntica,Anastaticeae,accepted,H,Y,696,256,68,55,23,14,440,>=500,>=100,>=10,>=10,>=10,>=10
66,3041048,Anchonium billardieri DC.,Anchonium billardieri,Anchonieae,accepted,H,N,58,20,17,7,0,0,38,>=10,>=10,>=10,<10,0,0
65,3041036,Anchonium elichrysifolium (DC.) Boiss.,Anchonium elichrysifolium,Anchonieae,accepted,H,N,242,29,1,1,1,0,213,>=100,>=10,<10,<10,<10,0
1466,3048803,Andrzeiowskia cardamine Rchb.,Andrzeiowskia cardamine,Cardamineae,accepted,H,Y,28,6,1,0,0,0,22,>=10,<10,<10,0,0,0
1458,3048698,Anelsonia eurycarpa (A. Gray) J.F. Macbr. & Payson,Anelsonia eurycarpa,Boechereae,accepted,H,Y,157,51,24,16,12,10,106,>=100,>=10,>=10,>=10,>=10,>=10
4077,11023434,Anzhenxia yechengnica (Z.X. An) Al-Shehbaz & D.A. German,Anzhenxia yechengnica,#N/A,#N/A,H,N,12,4,1,0,0,0,8,>=10,<10,<10,0,0,0
2966,5375169,Aphragmus bouffordii Al-Shehbaz,Aphragmus bouffordii,Aphragmeae,accepted,H,Y,6,6,0,0,0,0,0,<10,<10,0,0,0,0
2965,5375166,Aphragmus eschscholtzianus Andrz. ex DC.,Aphragmus eschscholtzianus,Aphragmeae,accepted,H,Y,138,88,46,6,5,4,50,>=100,>=10,>=10,<10,<10,<10
2964,5375165,"Aphragmus hinkuensis (Arai, H. Ohba & Al-Shehbaz Al-Shehbaz & S.I. Warwick",Aphragmus hinkuensis,Aphragmeae,accepted,H,N,2,1,0,0,0,0,1,<10,<10,0,0,0,0
2968,5375171,Aphragmus hobsonii (H. Pearson) Al-Shehbaz & S.I. Warwick,Aphragmus hobsonii,Aphragmeae,accepted,H,N,43,3,0,0,0,0,40,>=10,<10,0,0,0,0
2959,5375157,Aphragmus involucratus (Bunge) O.E. Schulz,Aphragmus involucratus,Aphragmeae,accepted,H,N,20,4,3,0,0,0,16,>=10,<10,<10,0,0,0
2967,5375170,Aphragmus ladakianus Al-Shehbaz,Aphragmus ladakianus,Aphragmeae,accepted,H,N,1,1,0,0,0,0,0,<10,<10,0,0,0,0
4123,11100004,"Aphragmus minutus (H. Hara) Al-Shehbaz, G.Q. Hao & J.Q. Liu",Aphragmus minutus,Aphragmeae,accepted,H,N,28,1,0,0,0,0,27,>=10,<10,0,0,0,0
2960,5375159,Aphragmus nepalensis (H. Hara) Al-Shehbaz,Aphragmus nepalensis,Aphragmeae,accepted,H,N,9,4,1,1,0,0,5,<10,<10,<10,<10,0,0
2962,5375162,Aphragmus obscurus (Dunn) O.E. Schulz,Aphragmus obscurus,Aphragmeae,accepted,H,Y,28,19,18,0,0,0,9,>=10,>=10,>=10,0,0,0
2963,5375164,"Aphragmus ohbanus (Al-Shehbaz & Arai) Al-Shehbaz, A.I. & S.I. Warwick",Aphragmus ohbanus,Aphragmeae,accepted,H,N,13,2,1,1,0,0,11,>=10,<10,<10,<10,0,0
2969,5375173,Aphragmus oxycarpus (Hook.f. & Thomson) Jafri,Aphragmus oxycarpus,Aphragmeae,accepted,H,N,424,241,157,0,0,0,183,>=100,>=100,>=100,0,0,0
3771,9029193,Aphragmus pygmaeus Al-Shehbaz,Aphragmus pygmaeus,Aphragmeae,accepted,H,N,2,2,0,0,0,0,0,<10,<10,0,0,0,0
2961,5375160,Aphragmus serpens (W.W. Sm.) Al-Shehbaz & S.I. Warwick,Aphragmus serpens,Aphragmeae,accepted,H,N,61,4,3,3,3,3,57,>=10,<10,<10,<10,<10,<10
2620,5373587,Aplanodes doidgeana Marais,Aplanodes doidgeana,Cardamineae,accepted,H,Y,17,10,0,0,0,0,7,>=10,>=10,0,0,0,0
2619,5373585,Aplanodes sisymbrioides (Schltr.) Marais,Aplanodes sisymbrioides,Cardamineae,accepted,H,N,5,2,0,0,0,0,3,<10,<10,0,0,0,0
3,3040445,Arabidella chrysodema Lepschi & Wege,Arabidella chrysodema,Microlepidieae,accepted,H,N,25,25,22,11,10,9,0,>=10,>=10,>=10,>=10,>=10,<10
2,3040441,Arabidella eremigena (F. Muell.) E.A. Shaw,Arabidella eremigena,Microlepidieae,accepted,H,Y,370,328,298,135,102,82,42,>=100,>=100,>=100,>=100,>=100,>=10
8,3040460,Arabidella filifolia (F. Muell.) E.A. Shaw,Arabidella filifolia,Microlepidieae,accepted,W,Y,131,108,102,34,14,13,23,>=100,>=100,>=100,>=10,>=10,>=10
7,3040459,Arabidella glaucescens E.A. Shaw,Arabidella glaucescens,Microlepidieae,accepted,W,Y,380,353,319,147,109,73,27,>=100,>=100,>=100,>=100,>=100,>=10
6,3040453,Arabidella nasturtium (F. Muell.) E.A. Shaw,Arabidella nasturtium,Microlepidieae,accepted,H,Y,603,532,481,208,140,115,71,>=500,>=500,>=100,>=100,>=100,>=100
4,3040446,Arabidella procumbens (Tate) E.A. Shaw,Arabidella procumbens,Microlepidieae,accepted,H,Y,106,89,84,34,24,22,17,>=100,>=10,>=10,>=10,>=10,>=10
5,3040450,Arabidella trisecta (F. Muell.) O.E. Schulz,Arabidella trisecta,Microlepidieae,accepted,W,Y,1184,1076,934,351,263,210,108,>=1000,>=1000,>=500,>=100,>=100,>=100
2140,3052501,"Arabidopsis arenicola (Richardson) Al-Shehbaz, R.Elven, D. Murray & S.I. Warwick",Arabidopsis arenicola,Camelineae,accepted,H,N,610,227,35,21,12,9,383,>=500,>=100,>=10,>=10,>=10,<10
2141,3052509,Arabidopsis arenosa (L.) Lawalrée,Arabidopsis arenosa,Camelineae,accepted,H,N,41445,36398,29427,15208,12521,10020,5047,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
2144,3052535,Arabidopsis cebennensis (DC.) O'Kane & Al-Shehbaz,Arabidopsis cebennensis,Camelineae,accepted,H,N,2438,1941,1927,5,4,4,497,>=1000,>=1000,>=1000,<10,<10,<10
2146,3052541,Arabidopsis croatica (Schott ex Nyman & Kotschy) O'Kane & Al-Shehbaz,Arabidopsis croatica,Camelineae,accepted,H,N,52,2,0,0,0,0,50,>=10,<10,0,0,0,0
4144,11184550,Arabidopsis drassiana Naqshi & Javeid,Arabidopsis drassiana,unknown,unresolved,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2138,3052450,Arabidopsis halleri (L.) O'Kane & Al-Shehbaz,Arabidopsis halleri,Camelineae,accepted,H,Y,6335,3647,2447,704,366,281,2688,>=1000,>=1000,>=1000,>=500,>=100,>=100
2139,3052468,Arabidopsis kamchatica (Fisch. ex. DC.) K. Shimizu & Kudoh,Arabidopsis kamchatica,Camelineae,accepted,H,N,9740,5619,3124,1536,1306,980,4121,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
2143,3052529,Arabidopsis neglecta (Schult.) O'Kane & Al-Shehbaz,Arabidopsis neglecta,Camelineae,accepted,H,N,185,50,26,22,22,1,135,>=100,>=10,>=10,>=10,>=10,<10
2145,3052538,Arabidopsis pedemontana (Boiss.) O'Kane & Al-Shehbaz,Arabidopsis pedemontana,Camelineae,accepted,H,N,69,2,0,0,0,0,67,>=10,<10,0,0,0,0
3675,8068424,Arabidopsis petraea (L.) V.I. Dorof.,Arabidopsis petraea,Camelineae,accepted,H,N,7301,6560,3230,2101,1484,1264,741,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3586,7545687,Arabidopsis petrogena (A. Kern.) V.I. Dorof.,Arabidopsis petrogena,Camelineae,accepted,H,N,87,8,0,0,0,0,79,>=10,<10,0,0,0,0
2147,3052544,Arabidopsis suecica (Fr.) Norrl.,Arabidopsis suecica,Camelineae,accepted,H,N,6882,6032,5411,4453,1994,1313,850,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
2137,3052436,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,Camelineae,accepted,H,Y,189911,181076,152389,51907,28975,24127,8835,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
2142,3052528,Arabidopsis umezawana Kadota,Arabidopsis umezawana,Camelineae,accepted,H,N,1,1,0,0,0,0,0,<10,<10,0,0,0,0
2906,5375010,Arabis aculeolata Greene,Arabis aculeolata,Arabideae,accepted,H,N,278,71,65,48,30,8,207,>=100,>=10,>=10,>=10,>=10,<10
2953,5375141,Arabis alanyensis H. Duman,Arabis alanyensis,Arabideae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
4008,10943665,Arabis alaschanica Maxim.,Arabis alaschanica,Arabideae,not accepted,H,N,19,5,0,0,0,0,14,>=10,<10,0,0,0,0
2903,5374994,Arabis allionii DC.,Arabis allionii,Arabideae,accepted,H,N,255,89,67,7,3,3,166,>=100,>=10,>=10,<10,<10,<10
2912,5375020,Arabis alpina L.,Arabis alpina,Arabideae,accepted,H,Y,47040,39785,29632,6040,4076,3019,7255,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
2925,5375062,Arabis amplexicaulis Edgew.,Arabis amplexicaulis,Arabideae,accepted,H,N,171,92,83,16,10,1,79,>=100,>=10,>=10,>=10,>=10,<10
2934,5375089,Arabis androsacea Fenzl,Arabis androsacea,Arabideae,accepted,H,N,39,12,0,0,0,0,27,>=10,>=10,0,0,0,0
2883,5374920,Arabis arabiformis (Hohenw.) A. Soldano,Arabis arabiformis,Arabideae,accepted,H,N,503,64,41,32,25,4,439,>=500,>=10,>=10,>=10,>=10,<10
2940,5375122,Arabis aubrietioides Boiss.,Arabis aubrietioides,Arabideae,accepted,H,N,84,12,0,0,0,0,72,>=10,>=10,0,0,0,0
2954,5375142,Arabis aucheri Boiss.,Arabis aucheri,Arabideae,accepted,H,N,92,28,6,6,0,0,64,>=10,>=10,<10,<10,0,0
2938,5375105,Arabis auriculata Lam.,Arabis auriculata,Arabideae,accepted,H,N,11580,9127,7580,1626,175,119,2453,>=1000,>=1000,>=1000,>=1000,>=100,>=100
2863,5374850,Arabis balansae Boiss. & Reut.,Arabis balansae,Arabideae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
2946,5375131,"Arabis beirana P. Silveira, J. Paiva & N. Marcos",Arabis beirana,Arabideae,accepted,H,N,20,10,0,0,0,0,10,>=10,>=10,0,0,0,0
2869,5374891,Arabis bijuga G. Watt,Arabis bijuga,Arabideae,accepted,H,N,68,29,22,0,0,0,39,>=10,>=10,>=10,0,0,0
2876,5374908,Arabis blepharophylla Hook. & Arn.,Arabis blepharophylla,Arabideae,accepted,H,Y,823,474,359,304,280,223,349,>=500,>=100,>=100,>=100,>=100,>=100
2873,5374900,Arabis borealis Andrz. ex C.A. Mey.,Arabis borealis,Arabideae,accepted,H,N,144,111,65,39,34,23,33,>=100,>=100,>=10,>=10,>=10,>=10
2878,5374911,Arabis brachycarpa Rupr.,Arabis brachycarpa,Arabideae,accepted,H,N,115,28,5,2,2,1,87,>=100,>=10,<10,<10,<10,<10
2881,5374917,Arabis bryoides Boiss.,Arabis bryoides,Arabideae,accepted,H,N,131,48,2,2,2,2,83,>=100,>=10,<10,<10,<10,<10
2877,5374909,Arabis caerulea All.,Arabis caerulea,Arabideae,accepted,H,N,4314,3195,2620,154,135,62,1119,>=1000,>=1000,>=1000,>=100,>=100,>=10
2880,5374916,Arabis carduchorum Boiss.,Arabis carduchorum,Arabideae,accepted,H,N,70,35,30,14,9,3,35,>=10,>=10,>=10,>=10,<10,<10
2884,5374922,Arabis caucasica Willd.,Arabis caucasica,Arabideae,accepted,H,N,5474,3591,2564,1261,1062,892,1883,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
2899,5374982,Arabis ciliata Clairv.,Arabis ciliata,Arabideae,accepted,H,N,15294,13044,10442,514,337,193,2250,>=1000,>=1000,>=1000,>=500,>=100,>=100
2909,5375013,Arabis colchica Kolak.,Arabis colchica,Arabideae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
2904,5374998,Arabis collina Ten.,Arabis collina,Arabideae,accepted,H,N,8544,7040,5897,166,68,64,1504,>=1000,>=1000,>=1000,>=100,>=10,>=10
2913,5375035,Arabis conringioides Ball,Arabis conringioides,unplaced,accepted,H,N,67,5,2,1,1,0,62,>=10,<10,<10,<10,<10,0
2919,5375048,Arabis cretica Boiss. & Heldr.,Arabis cretica,Arabideae,accepted,H,N,49,12,6,6,6,4,37,>=10,>=10,<10,<10,<10,<10
2917,5375046,Arabis crucisetosa Constance & Rollins,Arabis crucisetosa,Arabideae,accepted,H,N,74,17,8,5,4,1,57,>=10,>=10,<10,<10,<10,<10
2924,5375061,Arabis cypria Holmboe,Arabis cypria,Arabideae,accepted,H,N,36,10,3,0,0,0,26,>=10,>=10,<10,0,0,0
2890,5374961,Arabis davisii H. Duman & A. Duran,Arabis davisii,Arabideae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
2929,5375069,Arabis deflexa Boiss.,Arabis deflexa,Arabideae,accepted,H,N,36,7,1,1,1,1,29,>=10,<10,<10,<10,<10,<10
2918,5375047,Arabis doberanica Parsa,Arabis doberanica,Arabideae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,5374950,Arabis doumetii Coss.,Arabis doumetii,Arabideae,accepted,H,N,29,5,1,0,0,0,24,>=10,<10,<10,0,0,0
1171,3047743,Arabis drabiformis Boiss.,Arabis drabiformis,Arabideae,accepted,H,N,174,30,2,2,2,2,144,>=100,>=10,<10,<10,<10,<10
3717,8306492,Arabis elegans Tineo ex Lojac.,Arabis elegans,Boechereae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,5375139,Arabis elgonensis Al-Shehbaz,Arabis elgonensis,Arabideae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
3534,5552067,Arabis erikii Mutlu,Arabis erikii,Arabideae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2914,5375040,Arabis erubescens Ball,Arabis erubescens,Arabideae,accepted,H,N,27,6,0,0,0,0,21,>=10,<10,0,0,0,0
2936,5375092,Arabis eschscholtziana Andrz.,Arabis eschscholtziana,Arabideae,accepted,H,N,1039,483,127,61,41,19,556,>=1000,>=100,>=100,>=10,>=10,>=10
2939,5375121,Arabis farinacea Rupr.,Arabis farinacea,Arabideae,accepted,H,N,8,6,3,2,1,0,2,<10,<10,<10,<10,<10,0
2947,5375132,Arabis ferdinandi-coburgii Kellerer & Sünd.,Arabis ferdinandi-coburgii,Arabideae,accepted,H,N,45,19,16,16,16,1,26,>=10,>=10,>=10,>=10,>=10,<10
2937,5375102,Arabis flagellosa Miq.,Arabis flagellosa,Arabideae,accepted,H,N,407,166,1,0,0,0,241,>=100,>=100,<10,0,0,0
2944,5375127,Arabis furcata S. Watson,Arabis furcata,Arabideae,accepted,H,N,214,46,20,11,6,2,168,>=100,>=10,>=10,>=10,<10,<10
2943,5375126,Arabis gegamica Mtschvet.,Arabis gegamica,Arabideae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,5375138,Arabis georgiana Harper,Arabis georgiana,Arabideae,accepted,H,N,82,3,3,0,0,0,79,>=10,<10,<10,0,0,0
